service_id_number,service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,responsibility_area_en,responsibility_area_fr,authority_en,authority_fr,program_name_en,program_name_fr,program_id_number,service_owner,service_agreements,client_target_groups,cra_business_number,volumes_per_channel_online,volumes_per_channel_telephone,volumes_per_channel_in_person,volumes_per_channel_mail,user_fee,targets_published_en,targets_published_fr,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,interaction_points_online,interaction_points_total,percentage_online,owner_org,owner_org_title
2017-2018-AAFC-010,Career Focus Program,Programme Objectif carrière,EX,RES,Provides funding to organizations for the creation of agricultural internships that provide young Canadians with meaningful career-related work experiences.,Offre du financement aux organisations pour la création de stages en agriculture qui permettent aux jeunes Canadiens d'acquérir des expériences professionnelles utiles.,Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,Career Focus Program,Programme Objectif carrière,2.2.2,235,N,ES,N,89,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-022,Canadian Soil Information System (CanSIS),Système d’information sur les sols du Canada (SISCan),EX,RES,"CanSIS works in partnership with the provincial soil mapping groups to maintain and provide access to Canada’s detailed and high level soils data, and other related information.",SISCan collabore avec des groupes provinciaux de cartographie du sol pour maintenir et offrir l'accès aux données détaillées de haut niveau sur les sols du Canada et d'autres renseignements connexes.,Science and Technology Branch,Direction générale des sciences et de la technologie ,N/A,S.O.,Canadian Soil Information System,Système d’information sur les sols du Canada,2.1.1,235,N,ES,N,17531,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,NA,NA,Y,NA,1,1,100,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-001,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,EX,RES,Provides financial counselling and mediation services to farmers in financial difficulty.,Offre des services de consultation financière et de médiation aux agriculteurs qui éprouvent des difficultés financières,Programs Branch,Direction générale des programmes ,Farm Debt Mediation Act,Loi sur la médiation en matière d’endettement agricole,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,2.2.1,235,N,ES,N,282,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,NA,NA,NA,NA,0,0,0,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-002,AgriMarketing Program Assurance Systems,"Programme Agri-marketing, volet Systèmes d'assurance",EX,RES,Provides funding for the development of national assurance systems and standards to support the Canadian agriculture products industry in meeting buyer and market demand for assurance and to enhance its competitiveness at home and abroad.,Offre du financement pour l'élaboration de normes et de systèmes nationaux d'assurance pour aider l'industrie canadienne des produits agricoles à répondre aux demandes d'assurance des acheteurs et des marchés et pour accroître la capacité concurrentielle au Canada comme à l'étranger.,Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,AgriMarketing,Agri-marketing,1.2.4,235,Y,ES,N,16,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-003,AgriMarketing Program Market Development,"Programme Agri-marketing, volet Développement des marchés",EX,RES,Provides funding to industry associations and small and medium sized enterprises to support the implementation of long-term international strategies aimed at enhancing marketing capacity and improved competitiveness in global markets.,Offre du financement aux associations sectorielles ainsi qu'aux petites et moyennes entreprises afin de favoriser la mise en œuvre de stratégies internationales à long terme visant à rehausser la capacité de commercialisation et à améliorer la compétitivité sur les marchés mondiaux. ,Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,AgriMarketing,Agri-marketing,1.2.3,235,Y,ES,N,141,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-024,ATIP Services,Services de l'AIPRP,EX,RES,Provide services to requestors that want to get access to governement records.,Offre des services aux demandeurs qui veulent accéder aux dossiers du gouvernement.,Public Affairs Branch,Direction générale des affaires publiques,Access to information Act and Privacy Act,Loi sur l'acces a l'information et protection des renseignements personnels,ATIP,AIPRP,3.1.2,235,N,PP,NA,125,NA,NA,109,Y,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,Y,Y,Y,N,N,Y,4,6,67,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-004,AgriInnovation Program Industry-led Research and Development (Stream B),"Programme Agri-innovation, Activités de recherche et développement dirigées par l'industrie (volet B)",EX,RES,"Provides support for pre-commercialization Research, Development and Knowledge Transfer leading to innovative agriculture, agri-food and agri-based practices, processes and products.","Offre un soutien à la recherche, au développement et au transfert des connaissances préalables à la commercialisation et qui déboucheront sur des pratiques, procédés et produits agricoles, agroalimentaires et agroindustriels innovateurs.",Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,AgriInnovation,Agri-innovation,2.1.3,235,Y,IO,NA,29,NA,NA,0,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-005,AgriInnovation Program Enabling Commercialization and Adoption (Stream C),"Programme Agri-innovation, Facilitation de la commercialisation et de l'adoption (volet C)",EX,RES,"Provides repayable contributions to approved industry-led -commercial demonstration, commercialization or adoption projects.","Offre des contributions remboursables pour des projets approuvés de démonstration commerciale, de commercialisation ou d'adoption dirigés par l'industrie.",Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,AgriInnovation,Agri-innovation,2.1.4,235,Y,ES,N,36,NA,NA,0,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-006,AgriInvest,Agri-investissement,EX,RES,"Provides matching contributions to producers who make annual deposits to an AgriInvest account, to help manage income declines or make investments to mitigate risks or improve market income.","Offre des contributions de contrepartie aux producteurs qui font des dépôts annuels dans un compte Agri-investissement, afin de gérer les baisses de revenus ou de faire des investissements dans le but d'atténuer les risques ou d'améliorer les revenus tirés du marché.",Programs Branch,Direction générale des programmes ,Farm Income Protection Act; Growing Forward 2 TB Submission,Loi sur la protection du revenu agricole ; Cultivons l'avenir 2 - Présentation au Conseil du Trésor ,AgriInvest,Agri-investissement,1.1.2,235,Y,ES,Y,108429,NA,NA,15277,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,Y,Y,Y,Y,Y,Y,6,6,100,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-007,AgriStability,Agri-stabilité,EX,RES,Provides income support to producers who experience a large margin decline.,Offre un soutien du revenu aux producteurs qui subissent une baisse importante de leur marge.,Programs Branch,Direction générale des programmes ,Farm Income Protection Act; Growing Forward 2 TB Submission,Loi sur la protection du revenu agricole; Cultivons l'avenir 2 - Présentation au Conseil du Trésor ,AgriStability,Agri-stabilité,1.1.1,235,Y,ES,Y,2223,NA,NA,4570,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,N,N,Y,N,Y,N,2,6,33,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
